SYMBOL	interaction	target	Neighbourhood
WDR72	pp	C1	Cytosol
WDR81	pp	C1	Cytosol
WDR91	pp	C1	Cytosol
WHAMM	pp	C1	Cytosol
WIPI1	pp	C1	Cytosol
WIPI2	pp	C1	Cytosol
VPS13C	pp	C1	Cytosol
VPS28	pp	C1	Cytosol
VPS9D1	pp	C1	Cytosol
WWC2	pp	C1	Cytosol
XDH	pp	C1	Cytosol
XPO6	pp	C1	Cytosol
YDJC	pp	C1	Cytosol
ZFP36L1	pp	C1	Cytosol
ZFP36L2	pp	C1	Cytosol
ZFYVE1	pp	C1	Cytosol
ZFYVE28	pp	C1	Cytosol
ZSWIM8	pp	C1	Cytosol
ZYG11B	pp	C1	Cytosol
ZZEF1	pp	C1	Cytosol
SEPT5	pp	C2	Cytosol
A1BG	pp	C2	Cytosol
AASDH	pp	C2	Cytosol
ABCF1	pp	C2	Cytosol
ABL1	pp	C2	Cytosol
ABTB2	pp	C2	Cytosol
ACTBL2	pp	C2	Cytosol
ACTG1	pp	C2	Cytosol
ACTL6A	pp	C2	Cytosol
ACTN2	pp	C2	Cytosol
ADD1	pp	C2	Cytosol
AEBP1	pp	C2	Cytosol
AFAP1L1	pp	C2	Cytosol
AFM	pp	C2	Cytosol
AFTPH	pp	C2	Cytosol
AHCYL2	pp	C2	Cytosol
AHI1	pp	C2	Cytosol
AHR	pp	C2	Cytosol
AIM1L	pp	C2	Cytosol
AJUBA	pp	C2	Cytosol
AK7	pp	C2	Cytosol
AKAP12	pp	C2	Cytosol
AKAP13	pp	C2	Cytosol
AKAP6	pp	C2	Cytosol
AKAP9	pp	C2	Cytosol
AKR7A2	pp	C2	Cytosol
ALMS1	pp	C2	Cytosol
ALPK2	pp	C2	Cytosol
ALPK3	pp	C2	Cytosol
ALS2CL	pp	C2	Cytosol
AMMECR1	pp	C2	Cytosol
AMOTL2	pp	C2	Cytosol
ANK2	pp	C2	Cytosol
ANKFY1	pp	C2	Cytosol
ANKHD1	pp	C2	Cytosol
ANKRD1	pp	C2	Cytosol
ANKRD17	pp	C2	Cytosol
ANKRD39	pp	C2	Cytosol
ANKRD50	pp	C2	Cytosol
ANKS6	pp	C2	Cytosol
AP3B2	pp	C2	Cytosol
APBA1	pp	C2	Cytosol
